0.01 -6.7823544224 -6.22788017055 -7.80703182945
0.02 -9.763564632 -8.91653745245 -11.0128545476
0.03 -13.3244645072 -12.1544544612 -14.9391935388
0.04 -20.862612112 -19.7414843591 -22.6051204409
0.05 -19.2059102176 -17.9031316918 -21.4972587082
0.06 -23.3209310656 -21.929996262 -26.080013338
0.07 -22.6023755216 -21.3770942659 -24.7874145341
0.08 -22.8764486752 -21.4373329889 -25.7389934111
0.09 -21.9299894464 -20.9200730323 -24.3365221677
0.1 -20.4520490656 -18.6864559384 -23.6281680616
0.11 -19.225884928 -16.8222212205 -23.6365435795
0.12 -21.8207880224 -19.4197437815 -26.0463490185
0.13 -17.3029098496 -15.5324989975 -20.9792002025
0.14 -18.5883991456 -15.7269834832 -23.7391541168
0.15 -9.4100239184 -7.06746974907 -15.5182806509
0.16 -11.1275836064 -9.13986872545 -16.4475040746
0.17 -9.7880464688 -10.3275878386 -13.6820217614
0.18 -7.3162809744 -8.32439755075 -10.5727768493
0.19 -6.9484702192 -8.70222390657 -9.28804489343
0.2 -7.7235128528 -9.43164551009 -7.83919928991
0.25 -10.7508783264 -12.5303001822 -9.77555581782
0.3 -12.4141409168 -13.5834107293 -12.0317668707
0.35 -15.5693301696 -16.5373823326 -15.0048128674
0.4 -14.8550508656 -15.7166442372 -14.2889077628
0.45 -17.0947083856 -18.2624704671 -16.6485215329
0.5 -18.9642477632 -19.7108379472 -18.6322404528
0.6 -20.8528612256 -21.8052776443 -20.2457559557
0.7 -26.0342259456 -27.5937928436 -25.0935351564
0.8 -27.201688928 -28.1580847687 -26.7556304313
0.9 -33.3278433264 -35.2637174036 -32.5130793964
0.98 -44.0 -44.0 -44.0
